opponent_team,was_home,round,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,total_points,player_id,avg_points_last3,avg_minutes_last3,xG_last5,xA_last5,xGI_last5,minutes_ratio,opp_avg_goals_conceded,opp_goals_allowed_last5
8,True,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03380588876772083,
3,False,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.05145413870246085,
17,False,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,
18,True,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,
7,False,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,
5,True,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,
2,False,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,
20,True,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,
9,False,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.027563395810363836,
6,True,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,
2,True,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,
4,False,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.04371584699453552,
12,True,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.037199124726477024,
16,False,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03200883002207505,
14,True,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.030837004405286344,
11,False,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.04266958424507659,
17,True,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,
5,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,
20,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,
18,False,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,
7,True,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,
6,False,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,
15,False,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0407040704070407,
19,True,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,
10,False,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03808487486398259,
8,True,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03380588876772083,
3,False,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.05145413870246085,
17,False,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,0.0
18,True,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0
7,False,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,0.0
5,True,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,0.0
2,False,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,0.0
20,True,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0
9,False,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.027563395810363836,
6,True,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,0.0
2,True,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,0.0
4,False,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04371584699453552,
12,True,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.037199124726477024,
16,False,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03200883002207505,
14,True,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.030837004405286344,
11,False,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04266958424507659,
17,True,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,0.0
5,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,0.0
20,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0
18,False,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0
7,True,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,0.0
6,False,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,0.0
15,False,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0407040704070407,
19,True,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,
10,False,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03808487486398259,
8,True,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03380588876772083,
3,False,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.05145413870246085,
17,False,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,0.0
18,True,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0
7,False,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,0.0
5,True,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,0.0
2,False,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,0.0
20,True,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0
9,False,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.027563395810363836,
6,True,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,0.0
2,True,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.025727069351230425,0.0
4,False,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04371584699453552,
12,True,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.037199124726477024,
16,False,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03200883002207505,
14,True,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.030837004405286344,
11,False,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04266958424507659,
17,True,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.033105022831050226,0.0
5,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.030204962243797196,0.0
20,False,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0
18,False,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0
7,True,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03056768558951965,0.0
6,False,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,0.0
15,False,6,90,1,1,0,0,1,0,0,0,76.8,2.5,33.0,11.2,0.22,0.02,0.24,0.61,3,16,2,19,13,5,4.333333333333333,90.0,0.052,0.008,0.0,1.0,0.0407040704070407,0.2
19,True,7,90,1,0,0,1,0,0,0,0,24.6,2.0,2.0,2.9,0.0,0.03,0.03,0.49,2,10,0,12,9,5,8.0,90.0,0.096,0.012,0.0,1.0,0.04285714285714286,0.0
10,False,8,90,1,0,1,1,0,0,0,0,33.4,11.6,15.0,6.0,0.24,0.02,0.26,0.44,0,9,1,9,12,5,8.0,90.0,0.088,0.016,0.0,1.0,0.03808487486398259,0.0
8,True,9,90,1,0,0,1,0,0,0,0,27.2,11.2,9.0,4.7,0.1,0.03,0.13,0.47,0,9,0,9,9,5,11.333333333333334,90.0,0.132,0.018,0.0,1.0,0.03380588876772083,0.0
3,False,10,90,1,0,1,1,0,0,1,0,36.0,11.3,4.0,5.1,0.0,0.52,0.52,0.42,1,10,1,11,12,5,10.0,90.0,0.112,0.022,0.0,1.0,0.05145413870246085,0.0
17,False,11,90,1,0,0,0,2,0,0,0,21.4,15.4,4.0,4.1,0.0,0.03,0.03,0.44,1,4,0,5,1,5,11.0,90.0,0.112,0.124,0.236,1.0,0.033105022831050226,0.0
18,True,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,7.333333333333333,90.0,0.068,0.126,0.194,1.0,0.0446927374301676,0.0
7,False,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,4.333333333333333,60.0,0.0679999999999999,0.12,0.188,0.6666666666666666,0.03056768558951965,0.0
5,True,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0.3333333333333333,30.0,0.02,0.116,0.136,0.3333333333333333,0.030204962243797196,0.0
